IDStudent,IDSubject,Term,Grade
2151163429,KT573,1,3.16
2151163524,CK790,1,3.16
2151163501,CK791,1,3.16
2151163546,CK791,1,3.16
2151163568,CK795,1,3.16
2151163648,CK802,2,3.16
2151163533,CK803,2,3.16
2151163526,CK789,1,3.17
2151163702,CK793,1,3.17
2151163171,CSE130,1,3.17
2151163063,CSE124,1,3.17
2151163141,CSE124,1,3.17
2151163364,KT568,1,3.17
2151163732,CK796,1,3.17
2151163485,KT567,1,3.17
2151163417,KT569,1,3.17
2151163574,CK791,1,3.17
2151163356,KT574,1,3.17
2151163617,CK802,2,3.17
2151163007,CSE138,2,3.17
2151163115,CSE132,2,3.17
2151163168,CSE132,2,3.17
2151163206,CSE134,2,3.17
2151163720,CK800,2,3.17
2151163317,KT575,2,3.17
2151163395,KT579,2,3.17
2151163636,CK793,1,3.18
2151163510,CK794,1,3.18
2151163659,CK794,1,3.18
2151163104,CSE130,1,3.18
2151163401,KT568,1,3.18
2151163014,CSE125,1,3.18
2151163194,CSE125,1,3.18
2151163450,KT567,1,3.18
2151163323,KT572,1,3.18
2151163368,KT572,1,3.18
2151163069,CSE127,1,3.18
2151163185,CSE134,2,3.18
2151163266,KT578,2,3.18
2151163621,CK800,2,3.18
2151163272,KT575,2,3.18
2151163335,KT579,2,3.18
2151163329,KT581,2,3.18
2151163662,CK798,2,3.18
2151163528,CK793,1,3.19
2151163530,CK793,1,3.19
2151163609,CK794,1,3.19
2151163615,CK794,1,3.19
2151163664,CK794,1,3.19
2151163279,KT568,1,3.19
2151163113,CSE125,1,3.19
2151163139,CSE125,1,3.19
2151163388,KT570,1,3.19
2151163677,CK792,1,3.19
2151163315,KT572,1,3.19
2151163379,KT576,2,3.19
2151163679,CK804,2,3.19
2151163463,KT575,2,3.19
2151163093,CSE136,2,3.19
2151163688,CK794,1,3.2
2151163022,CSE124,1,3.2
2151163171,CSE124,1,3.2
2151163301,KT570,1,3.2
2151163465,KT572,1,3.2
2151163487,KT573,1,3.2
2151163619,CK790,1,3.2
2151163522,CK802,2,3.2
2151163118,CSE138,2,3.2
2151163291,KT578,2,3.2
2151163570,CK800,2,3.2
2151163617,CK800,2,3.2
2151163396,KT582,2,3.2
2151163160,CSE137,2,3.2
2151163693,CK794,1,3.21
2151163128,CSE130,1,3.21
2151163167,CSE124,1,3.21
2151163074,CSE126,1,3.21
2151163318,KT567,1,3.21
2151163489,KT572,1,3.21
2151163140,CSE123,1,3.21
2151163746,CK790,1,3.21
2151163295,KT569,1,3.21
2151163227,CSE129,1,3.21
2151163207,CSE132,2,3.21
2151163218,CSE134,2,3.21
2151163320,KT581,2,3.21
2151163709,CK799,2,3.21
2151163338,KT582,2,3.21
2151163053,CSE136,2,3.21
2151163531,CK794,1,3.22
2151163541,CK794,1,3.22
2151163027,CSE130,1,3.22
2151163030,CSE125,1,3.22
2151163651,CK792,1,3.22
2151163261,KT573,1,3.22
2151163425,KT573,1,3.22
2151163625,CK790,1,3.22
2151163379,KT569,1,3.22
2151163214,CSE128,1,3.22
2151163527,CK797,2,3.22
2151163046,CSE133,2,3.22
2151163542,CK804,2,3.22
2151163530,CK800,2,3.22
2151163456,KT580,2,3.22
2151163458,KT581,2,3.22
2151163672,CK803,2,3.22
2151163138,CSE135,2,3.22
2151163448,KT582,2,3.22
2151163652,CK793,1,3.23
2151163033,CSE124,1,3.23
2151163147,CSE125,1,3.23
2151163705,CK796,1,3.23
2151163693,CK797,2,3.23
2151163041,CSE133,2,3.23
2151163206,CSE130,1,3.24
2151163051,CSE126,1,3.24
2151163318,KT568,1,3.24
2151163216,CSE125,1,3.24
2151163677,CK796,1,3.24
2151163374,KT571,1,3.24
2151163595,CK790,1,3.24
2151163681,CK795,1,3.24
2151163454,KT574,1,3.24
2151163497,KT574,1,3.24
2151163654,CK802,2,3.24
2151163051,CSE138,2,3.24
2151163258,KT576,2,3.24
2151163433,KT576,2,3.24
2151163530,CK799,2,3.24
2151163251,KT582,2,3.24
2151163633,CK793,1,3.25
2151163671,CK793,1,3.25
2151163742,CK793,1,3.25
2151163591,CK794,1,3.25
2151163714,CK794,1,3.25
2151163171,CSE126,1,3.25
2151163271,KT570,1,3.25
2151163710,CK791,1,3.25
2151163417,KT580,2,3.25
2151163504,CK799,2,3.25
2151163543,CK799,2,3.25
2151163560,CK793,1,3.26
2151163635,CK794,1,3.26
2151163217,CSE124,1,3.26
2151163259,KT570,1,3.26
2151163288,KT570,1,3.26
2151163303,KT567,1,3.26
2151163180,CSE127,1,3.26
2151163215,CSE138,2,3.26
2151163544,CK804,2,3.26
2151163153,CSE130,2,3.26
2151163273,KT577,2,3.26
2151163655,CK803,2,3.26
2151163685,CK794,1,3.27
2151163097,CSE130,1,3.27
2151163181,CSE126,1,3.27
2151163571,CK792,1,3.27
2151163346,KT567,1,3.27
2151163477,KT567,1,3.27
2151163688,CK790,1,3.27
2151163623,CK791,1,3.27
2151163651,CK791,1,3.27
2151163223,CSE129,1,3.27
2151163399,KT576,2,3.27
2151163335,KT578,2,3.27
2151163067,CSE130,2,3.27
2151163587,CK798,2,3.27
2151163475,KT577,2,3.27
2151163221,CSE135,2,3.27
2151163205,CSE136,2,3.27
2151163583,CK793,1,3.28
2151163023,CSE126,1,3.28
2151163102,CSE125,1,3.28
2151163666,CK796,1,3.28
2151163357,KT567,1,3.28
2151163425,KT567,1,3.28
2151163280,KT572,1,3.28
2151163208,CSE127,1,3.28
2151163149,CSE138,2,3.28
2151163456,KT575,2,3.28
2151163314,KT581,2,3.28
2151163326,KT581,2,3.28
2151163566,CK799,2,3.28
2151163660,CK803,2,3.28
2151163519,CK793,1,3.29
2151163046,CSE126,1,3.29
2151163707,CK792,1,3.29
2151163719,CK792,1,3.29
2151163414,KT574,1,3.29
2151163728,CK797,2,3.29
2151163141,CSE138,2,3.29
2151163186,CSE132,2,3.29
2151163142,CSE133,2,3.29
2151163268,KT575,2,3.29
2151163371,KT575,2,3.29
2151163469,KT575,2,3.29
2151163285,KT580,2,3.29
2151163366,KT580,2,3.29
2151163359,KT582,2,3.29
2151163228,CSE136,2,3.29
2151163736,CK793,1,3.3
2151163745,CK793,1,3.3
2151163603,CK794,1,3.3
2151163618,CK794,1,3.3
2151163702,CK794,1,3.3
2151163596,CK792,1,3.3
2151163322,KT572,1,3.3
2151163127,CSE127,1,3.3
2151163141,CSE127,1,3.3
2151163245,CSE127,1,3.3
2151163329,KT574,1,3.3
2151163165,CSE129,1,3.3
2151163736,CK801,2,3.3
2151163625,CK802,2,3.3
2151163165,CSE133,2,3.3
2151163620,CK804,2,3.3
2151163441,KT578,2,3.3
2151163636,CK800,2,3.3
2151163358,KT580,2,3.3
2151163368,KT577,2,3.3
2151163124,CSE135,2,3.3
2151163425,KT582,2,3.3
2151163145,CSE137,2,3.3
2151163517,CK793,1,3.31
2151163614,CK793,1,3.31
2151163747,CK793,1,3.31
2151163370,KT573,1,3.31
2151163222,CSE132,2,3.31
2151163277,KT580,2,3.31
2151163589,CK798,2,3.31
2151163705,CK799,2,3.31
2151163220,CSE137,2,3.31
2151163521,CK793,1,3.32
2151163576,CK793,1,3.32
2151163613,CK794,1,3.32
2151163150,CSE124,1,3.32
2151163618,CK792,1,3.32
2151163370,KT571,1,3.32
2151163139,CSE129,1,3.32
2151163194,CSE133,2,3.32
2151163288,KT581,2,3.32
2151163663,CK803,2,3.32
2151163130,CSE137,2,3.32
2151163375,KT571,1,3.33
2151163094,CSE123,1,3.33
2151163298,KT569,1,3.33
2151163108,CSE129,1,3.33
2151163238,CSE129,1,3.33
2151163651,CK797,2,3.33
2151163233,CSE138,2,3.33
2151163109,CSE134,2,3.33
2151163253,KT580,2,3.33
2151163321,KT580,2,3.33
2151163210,CSE130,2,3.33
2151163371,KT581,2,3.33
2151163315,KT577,2,3.33
2151163520,CK794,1,3.34
2151163691,CK794,1,3.34
2151163597,CK796,1,3.34
2151163446,KT572,1,3.34
2151163313,KT574,1,3.34
2151163709,CK802,2,3.34
2151163725,CK804,2,3.34
2151163256,KT575,2,3.34
2151163543,CK798,2,3.34
2151163614,CK798,2,3.34
2151163040,CSE135,2,3.34
2151163160,CSE136,2,3.34
2151163502,CK789,1,3.35
2151163647,CK793,1,3.35
2151163538,CK794,1,3.35
2151163469,KT571,1,3.35
2151163459,KT573,1,3.35
2151163642,CK797,2,3.35
2151163646,CK801,2,3.35
2151163138,CSE133,2,3.35
2151163388,KT581,2,3.35
2151163262,KT577,2,3.35
2151163309,KT577,2,3.35
2151163743,CK799,2,3.35
2151163368,KT582,2,3.35
2151163247,CSE136,2,3.35
2151163740,CK789,1,3.36
2151163194,CSE130,1,3.36
2151163448,KT568,1,3.36
2151163312,KT570,1,3.36
2151163253,KT571,1,3.36
2151163032,CSE132,2,3.36
2151163134,CSE132,2,3.36
2151163275,KT576,2,3.36
2151163367,KT576,2,3.36
2151163560,CK804,2,3.36
2151163335,KT580,2,3.36
2151163037,CSE130,2,3.36
2151163052,CSE130,2,3.36
2151163432,KT581,2,3.36
2151163710,CK798,2,3.36
2151163557,CK789,1,3.37
2151163556,CK794,1,3.37
2151163021,CSE126,1,3.37
2151163377,KT567,1,3.37
2151163512,CK795,1,3.37
2151163240,CSE138,2,3.37
2151163430,KT576,2,3.37
2151163063,CSE133,2,3.37
2151163532,CK800,2,3.37
2151163388,KT577,2,3.37
2151163163,CSE137,2,3.37
2151163629,CK792,1,3.38
2151163406,KT572,1,3.38
2151163113,CSE127,1,3.38
2151163696,CK801,2,3.38
2151163714,CK804,2,3.38
2151163334,KT579,2,3.38
2151163339,KT577,2,3.38
2151163365,KT577,2,3.38
2151163433,KT577,2,3.38
2151163564,CK803,2,3.38
2151163686,CK794,1,3.39
2151163711,CK794,1,3.39
2151163040,CSE123,1,3.39
2151163165,CSE123,1,3.39
2151163312,KT569,1,3.39
2151163665,CK791,1,3.39
2151163225,CSE134,2,3.39
2151163521,CK800,2,3.39
2151163710,CK800,2,3.39
2151163328,KT581,2,3.39
2151163068,CSE136,2,3.39
2151163557,CK794,1,3.4
2151163563,CK794,1,3.4
2151163067,CSE130,1,3.4
2151163027,CSE124,1,3.4
2151163241,CSE126,1,3.4
2151163340,KT570,1,3.4
2151163350,KT571,1,3.4
2151163406,KT571,1,3.4
2151163188,CSE123,1,3.4
2151163628,CK795,1,3.4
2151163189,CSE130,2,3.4
2151163217,CSE136,2,3.4
2151163176,CSE137,2,3.4
2151163687,CK793,1,3.41
2151163221,CSE130,1,3.41
2151163206,CSE124,1,3.41
2151163202,CSE126,1,3.41
2151163586,CK792,1,3.41
2151163333,KT571,1,3.41
2151163608,CK791,1,3.41
2151163589,CK795,1,3.41
2151163123,CSE128,1,3.41
2151163621,CK802,2,3.41
2151163010,CSE133,2,3.41
2151163355,KT579,2,3.41
2151163401,KT577,2,3.41
2151163428,KT577,2,3.41
2151163679,CK799,2,3.41
2151163690,CK799,2,3.41
2151163191,CSE136,2,3.41
2151163596,CK796,1,3.42
2151163301,KT571,1,3.42
2151163088,CSE123,1,3.42
2151163744,CK797,2,3.42
2151163038,CSE138,2,3.42
2151163341,KT580,2,3.42
2151163490,KT577,2,3.42
2151163526,CK803,2,3.42
2151163185,CSE136,2,3.42
2151163552,CK789,1,3.43
2151163135,CSE124,1,3.43
2151163197,CSE124,1,3.43
2151163247,CSE124,1,3.43
2151163296,KT570,1,3.43
2151163459,KT570,1,3.43
2151163649,CK792,1,3.43
2151163308,KT571,1,3.43
2151163282,KT573,1,3.43
2151163153,CSE127,1,3.43
2151163224,CSE127,1,3.43
2151163031,CSE132,2,3.43
2151163337,KT579,2,3.43
2151163088,CSE130,2,3.43
2151163661,CK799,2,3.43
2151163513,CK793,1,3.44
2151163542,CK793,1,3.44
2151163260,KT570,1,3.44
2151163366,KT567,1,3.44
2151163532,CK791,1,3.44
2151163727,CK795,1,3.44
2151163104,CSE134,2,3.44
2151163491,KT578,2,3.44
2151163685,CK800,2,3.44
2151163313,KT579,2,3.44
2151163425,KT579,2,3.44
2151163201,CSE136,2,3.44
2151163727,CK789,1,3.45
2151163599,CK793,1,3.45
2151163724,CK793,1,3.45
2151163507,CK794,1,3.45
2151163179,CSE126,1,3.45
2151163435,KT573,1,3.45
2151163747,CK791,1,3.45
2151163157,CSE128,1,3.45
2151163693,CK801,2,3.45
2151163698,CK801,2,3.45
2151163021,CSE134,2,3.45
2151163487,KT576,2,3.45
2151163717,CK804,2,3.45
2151163348,KT575,2,3.45
2151163453,KT575,2,3.45
2151163353,KT577,2,3.45
2151163209,CSE137,2,3.45
2151163611,CK793,1,3.46
2151163678,CK794,1,3.46
2151163123,CSE125,1,3.46
2151163511,CK792,1,3.46
2151163309,KT567,1,3.46
2151163068,CSE123,1,3.46
2151163315,KT574,1,3.46
2151163375,KT574,1,3.46
2151163076,CSE128,1,3.46
2151163652,CK804,2,3.46
2151163564,CK800,2,3.46
2151163414,KT577,2,3.46
2151163567,CK799,2,3.46
2151163711,CK796,1,3.47
2151163493,KT567,1,3.47
2151163484,KT572,1,3.47
2151163113,CSE123,1,3.47
2151163353,KT574,1,3.47
2151163189,CSE128,1,3.47
2151163043,CSE129,1,3.47
2151163126,CSE129,1,3.47
2151163749,CK802,2,3.47
2151163049,CSE138,2,3.47
2151163202,CSE133,2,3.47
2151163270,KT580,2,3.47
2151163021,CSE130,2,3.47
2151163300,KT581,2,3.47
2151163316,KT581,2,3.47
2151163337,KT582,2,3.47
2151163640,CK793,1,3.48
2151163554,CK794,1,3.48
2151163363,KT570,1,3.48
2151163662,CK802,2,3.48
2151163287,KT578,2,3.48
2151163427,KT579,2,3.48
2151163409,KT581,2,3.48
2151163702,CK799,2,3.48
2151163560,CK803,2,3.48
2151163003,CSE124,1,3.49
2151163125,CSE124,1,3.49
2151163716,CK795,1,3.49
2151163000,CSE127,1,3.49
2151163038,CSE127,1,3.49
2151163228,CSE127,1,3.49
2151163232,CSE134,2,3.49
2151163394,KT576,2,3.49
2151163200,CSE135,2,3.49
2151163333,KT582,2,3.49
2151163341,KT582,2,3.49
2151163710,CK789,1,3.5
2151163597,CK793,1,3.5
2151163026,CSE130,1,3.5
2151163424,KT568,1,3.5
2151163009,CSE125,1,3.5
2151163033,CSE125,1,3.5
2151163045,CSE125,1,3.5
2151163050,CSE125,1,3.5
2151163681,CK792,1,3.5
2151163698,CK792,1,3.5
2151163267,KT567,1,3.5
2151163342,KT571,1,3.5
2151163270,KT572,1,3.5
2151163500,KT572,1,3.5
2151163131,CSE123,1,3.5
2151163201,CSE123,1,3.5
2151163240,CSE123,1,3.5
2151163549,CK790,1,3.5
2151163463,KT574,1,3.5
2151163069,CSE128,1,3.5
2151163188,CSE128,1,3.5
2151163204,CSE138,2,3.5
2151163020,CSE132,2,3.5
2151163611,CK804,2,3.5
2151163266,KT575,2,3.5
2151163394,KT580,2,3.5
2151163677,CK798,2,3.5
2151163280,KT577,2,3.5
2151163317,KT577,2,3.5
2151163667,CK803,2,3.5
2151163314,KT582,2,3.5
2151163349,KT582,2,3.5
2151163211,CSE136,2,3.5
2151163181,CSE137,2,3.5
2151163721,CK793,1,3.51
2151163739,CK793,1,3.51
2151163029,CSE126,1,3.51
2151163056,CSE126,1,3.51
2151163166,CSE126,1,3.51
2151163390,KT568,1,3.51
2151163070,CSE125,1,3.51
2151163539,CK796,1,3.51
2151163548,CK796,1,3.51
2151163606,CK796,1,3.51
2151163726,CK796,1,3.51
2151163345,KT571,1,3.51
2151163604,CK790,1,3.51
2151163149,CSE127,1,3.51
2151163278,KT574,1,3.51
2151163364,KT574,1,3.51
2151163427,KT574,1,3.51
2151163455,KT574,1,3.51
2151163127,CSE129,1,3.51
2151163208,CSE129,1,3.51
2151163521,CK797,2,3.51
2151163177,CSE132,2,3.51
2151163083,CSE134,2,3.51
2151163195,CSE134,2,3.51
2151163259,KT576,2,3.51
2151163077,CSE133,2,3.51
2151163363,KT578,2,3.51
2151163461,KT578,2,3.51
2151163517,CK800,2,3.51
2151163701,CK800,2,3.51
2151163259,KT575,2,3.51
2151163425,KT580,2,3.51
2151163181,CSE130,2,3.51
2151163436,KT577,2,3.51
2151163634,CK793,1,3.52
2151163735,CK793,1,3.52
2151163211,CSE130,1,3.52
2151163449,KT568,1,3.52
2151163580,CK796,1,3.52
2151163529,CK792,1,3.52
2151163715,CK792,1,3.52
2151163265,KT572,1,3.52
2151163469,KT572,1,3.52
2151163216,CSE123,1,3.52
2151163689,CK790,1,3.52
2151163291,KT569,1,3.52
2151163564,CK791,1,3.52
2151163694,CK791,1,3.52
2151163017,CSE127,1,3.52
2151163094,CSE127,1,3.52
2151163131,CSE129,1,3.52
2151163537,CK797,2,3.52
2151163520,CK802,2,3.52
2151163391,KT576,2,3.52
2151163107,CSE133,2,3.52
2151163577,CK804,2,3.52
2151163262,KT578,2,3.52
2151163395,KT578,2,3.52
2151163325,KT580,2,3.52
2151163489,KT580,2,3.52
2151163492,KT580,2,3.52
2151163162,CSE130,2,3.52
2151163508,CK798,2,3.52
2151163288,KT577,2,3.52
2151163548,CK799,2,3.52
2151163635,CK799,2,3.52
2151163225,CSE135,2,3.52
2151163545,CK793,1,3.53
2151163735,CK794,1,3.53
2151163049,CSE126,1,3.53
2151163394,KT568,1,3.53
2151163524,CK796,1,3.53
2151163713,CK796,1,3.53
2151163276,KT570,1,3.53
2151163296,KT567,1,3.53
2151163369,KT571,1,3.53
2151163282,KT572,1,3.53
2151163306,KT573,1,3.53
2151163406,KT573,1,3.53
2151163340,KT569,1,3.53
2151163441,KT569,1,3.53
2151163023,CSE127,1,3.53
2151163037,CSE129,1,3.53
2151163155,CSE129,1,3.53
2151163214,CSE129,1,3.53
2151163196,CSE134,2,3.53
2151163028,CSE133,2,3.53
2151163031,CSE133,2,3.53
2151163155,CSE133,2,3.53
2151163693,CK804,2,3.53
2151163707,CK804,2,3.53
2151163419,KT575,2,3.53
2151163351,KT581,2,3.53
2151163692,CK798,2,3.53
2151163204,CSE137,2,3.53
2151163595,CK793,1,3.54
2151163215,CSE126,1,3.54
2151163239,CSE126,1,3.54
2151163044,CSE125,1,3.54
2151163163,CSE125,1,3.54
2151163175,CSE125,1,3.54
2151163223,CSE125,1,3.54
2151163599,CK796,1,3.54
2151163722,CK796,1,3.54
2151163319,KT570,1,3.54
2151163286,KT567,1,3.54
2151163401,KT567,1,3.54
2151163499,KT567,1,3.54
2151163142,CSE123,1,3.54
2151163385,KT569,1,3.54
2151163617,CK791,1,3.54
2151163281,KT574,1,3.54
2151163032,CSE128,1,3.54
2151163206,CSE129,1,3.54
2151163547,CK797,2,3.54
2151163609,CK801,2,3.54
2151163720,CK802,2,3.54
2151163236,CSE134,2,3.54
2151163333,KT576,2,3.54
2151163199,CSE133,2,3.54
2151163685,CK804,2,3.54
2151163287,KT575,2,3.54
2151163433,KT575,2,3.54
2151163459,KT575,2,3.54
2151163468,KT575,2,3.54
2151163498,KT575,2,3.54
2151163410,KT581,2,3.54
2151163417,KT581,2,3.54
2151163728,CK803,2,3.54
2151163266,KT582,2,3.54
2151163440,KT582,2,3.54
2151163525,CK793,1,3.55
2151163020,CSE130,1,3.55
2151163051,CSE130,1,3.55
2151163377,KT568,1,3.55
2151163452,KT568,1,3.55
2151163035,CSE125,1,3.55
2151163083,CSE125,1,3.55
2151163539,CK792,1,3.55
2151163378,KT567,1,3.55
2151163466,KT567,1,3.55
2151163388,KT571,1,3.55
2151163483,KT572,1,3.55
2151163498,KT572,1,3.55
2151163157,CSE123,1,3.55
2151163170,CSE123,1,3.55
2151163205,CSE123,1,3.55
2151163582,CK790,1,3.55
2151163492,KT569,1,3.55
2151163560,CK795,1,3.55
2151163031,CSE127,1,3.55
2151163158,CSE127,1,3.55
2151163346,KT574,1,3.55
2151163688,CK797,2,3.55
2151163616,CK801,2,3.55
2151163680,CK801,2,3.55
2151163066,CSE132,2,3.55
2151163079,CSE134,2,3.55
2151163106,CSE134,2,3.55
2151163242,CSE134,2,3.55
2151163263,KT576,2,3.55
2151163207,CSE133,2,3.55
2151163634,CK800,2,3.55
2151163352,KT575,2,3.55
2151163460,KT575,2,3.55
2151163382,KT579,2,3.55
2151163402,KT579,2,3.55
2151163465,KT580,2,3.55
2151163590,CK798,2,3.55
2151163625,CK798,2,3.55
2151163522,CK803,2,3.55
2151163747,CK803,2,3.55
2151163494,KT582,2,3.55
2151163031,CSE136,2,3.55
2151163744,CK794,1,3.56
2151163313,KT568,1,3.56
2151163213,CSE125,1,3.56
2151163281,KT570,1,3.56
2151163322,KT570,1,3.56
2151163480,KT567,1,3.56
2151163377,KT571,1,3.56
2151163268,KT572,1,3.56
2151163487,KT572,1,3.56
2151163511,CK795,1,3.56
2151163574,CK795,1,3.56
2151163008,CSE127,1,3.56
2151163039,CSE129,1,3.56
2151163509,CK797,2,3.56
2151163108,CSE138,2,3.56
2151163274,KT576,2,3.56
2151163038,CSE133,2,3.56
2151163550,CK804,2,3.56
